AL REINA SOFIA	Albereda Reina Doña Sofía
CL GARELLANO	Carrer de Garellano
CL GASPAR NAVARRO PILES	Carrer de Gaspar Navarro Piles
CL GERMANIES	Carrer de Germanies
CL GIBRALTAR	Carrer de Gibraltar
CL GOYA	Carrer de Goya
CL GRANERERS	Carrer de Granerers
CL GREGORI MAIANS	Carrer de Gregori Maians
CL GREGORIO PECES-BARBA	Carrer de Gregorio Peces-Barba Martínez
CL GUSTAVO ADOLFO BECQUER	Carrer de Gustavo Adolfo Bécquer
CL HERNANDEZ MALILLOS	Carrer de Hernández Malillos
CL IRLANDA	Carrer de Irlanda
CL HISTORIADOR ISIDRO MIQUEL	Carrer de Isidre Miquel Casanova
CL JACINTO BENAVENTE	Carrer de Jacinto Benavente
CL JAIME BALMES	Carrer de Jaume Balmes
CL ESCRIPTOR JAUME ROIG	Carrer de Jaume Roig
CL JESUS	Carrer de Jesús
CL JUAN ARTAL	Carrer de Joan Artal
CL SANT JOAN EVANGELISTA	Carrer de Joan Evangelista
CL JOAN FUSTER	Carrer de Joan Fuster
CL JOAN XXIII	Carrer de Joan XXIII
CL JOANOT MARTORELL	Carrer de Joanot Martorell
CL JOAQUIM COSTA	Carrer de Joaquim Costa
CL JORDI SOLE TURA	Carrer de Jordi Solé Tura
CL JOSE ITURBI	Carrer de José Iturbi
CL JOSE NAVARRO	Carrer de José Navarro
CL JOSE PEDRO PEREZ-LLORCA	Carrer de José Pedro Pérez-Llorca Rodrigo
CL JOSE VICTORIO GIRON	Carrer de José Victorio Girón
CL JUAN RAMON JIMENEZ	Carrer de Juan Ramón Jiménez
CL JOAN DE JOANES	Carrer de Juan de Juanes
CL CORUNYA LA	Carrer de La Corunya
CL MARINA LA	Carrer de La Marina
CL RIBERA LA	Carrer de La Ribera
CL SAFOR LA	Carrer de La Safor
CL LEPANT	Carrer de Lepant
CL LLEO	Carrer de Lleó
CL LLEO XIII	Carrer de Lleó XIII
CL LLOCNOU DE LA CORONA	Carrer de Llocnou de la Corona
CL LLUIS DE SANTÀNGEL	Carrer de Lluís de Santàngel
CL LLIRIA	Carrer de Llíria
CL LOGRONYO	Carrer de Logronyo
CL LONDRES-48	Carrer de Londres 48
CL LOPE DE RUEDA	Carrer de Lope de Rueda
CL LOPE DE VEGA	Carrer de Lope de Vega
CL LLUIS LAMARCA	Carrer de Luis Lamarca
CL MACASTRE	Carrer de Macastre
CL MAGALLANES	Carrer de Magallanes
CL MALLORCA	Carrer de Mallorca
CL MANISES	Carrer de Manises
CL MANUEL FRAGA IRIBARNE	Carrer de Manuel Fraga Iribarne
CL MANUEL HERREROS CHAMPI	Carrer de Manuel Herreros
CL MARGARIDA BORRAS	Carrer de Margarida Borràs
CL MARIA AUXILIADORA	Carrer de Maria Auxiliadora
CL MASSANASSA	Carrer de Massanassa
CL MENORCA	Carrer de Menorca
CL MICALET	Carrer de Micalet
CL MIGUEL HERRERO RODRIGUEZ	Carrer de Miguel Herrero y Rodríguez de Miñón
CL MIQUEL SERVET	Carrer de Miguel Servet
CL MIQUEL ÀNGEL	Carrer de Miguel Àngel
CL MINETA	Carrer de Mineta
CL MIQUEL ROCA I JUNYENT	Carrer de Miquel Roca i Junyent
CL MIRAMAR	Carrer de Miramar
CL MONTREAL-76	Carrer de Montreal 76
CL MORALETS	Carrer de Moralets
CL MOSSEN SORELL	Carrer de Mossen Sorell
CL MUNICH-72	Carrer de Munich 72
CL MURILLO	Carrer de Murillo
CL MUÑOZ SECA	Carrer de Muñoz Seca
CL MENDEZ NUÑEZ	Carrer de Méndez Núñez
CL MURCIA	Carrer de Múrcia
CL MUSIC JOSE ORTI SORIANO	Carrer de Músico José Ortí Soriano
CL NAVAS DE TOLOSA	Carrer de Navas de Tolosa
CL NATZARET	Carrer de Nazaret
CL NICARAGUA	Carrer de Nicaragua
CL NICOLAU ANDREU	Carrer de Nicolás Andreu
CL MARE DE DEU DEL CARME	Carrer de Nuestra Señora del Carmen
CL NUÑEZ DE BALBOA	Carrer de Núñez de Balboa
CL PAIPORTA	Carrer de Paiporta
CL PALLETER	Carrer de Palleter
CL PASQUAL ROMERO	Carrer de Pascual Romero
CL PICANYA	Carrer de Picanya
CL PICASSENT	Carrer de Picassent
CL PINTOR GENARO LAHUERTA	Carrer de Pintor Genaro La Huerta
CL PINTOR GENOVES	Carrer de Pintor Genovés
CL PINTOR RENAU	Carrer de Pintor Renau
CL PINZON	Carrer de Pinzón
CL PIUS XII	Carrer de Pius XII
CL PIZARRO	Carrer de Pizarro
CL POETA JOSE ESPRONCEDA	Carrer de Poeta José Espronceda
CL PUÇOL	Carrer de Puçol
CL PIO BAROJA	Carrer de Pío Baroja
CL QUART DE POBLET	Carrer de Quart de Poblet
CL RAMIRO DE MAEZTU	Carrer de Ramiro de Maeztu
CL RAMON Y CAJAL	Carrer de Ramón y Cajal
CL REQUENA	Carrer de Requena
CL ROGER DE LLURIA	Carrer de Roger de Lauria
CL ROMA	Carrer de Roma
CL RONCESVALLS	Carrer de Roncesvalles
CL ROSENDO MONTORO	Carrer de Rosendo Montoro
CL RUBEN DARIO	Carrer de Rubén Darío
CL SAGRA	Carrer de Sagra
CL SAGUNT	Carrer de Sagunt
CL SALAMANCA	Carrer de Salamanca
CL SANT HERMENEGILD	Carrer de San Hermeregildo
CL SANT JOAQUIM	Carrer de San Joaquim
CL SANT AGUSTI	Carrer de Sant Agustí
CL SANT ALFRED	Carrer de Sant Alfred
CL SANT AMADOR	Carrer de Sant Amador
CL SANT ANTONI ABAT	Carrer de Sant Antoni Abad
CL SANT ANTONI DE PÀDUA	Carrer de Sant Antoni de Pàdua
CL SANT BLAI	Carrer de Sant Blai
CL SANT CARLES	Carrer de Sant Carles
CL SANT CRISTÒFOL	Carrer de Sant Cristòfol
CL SANT DIDAC	Carrer de Sant Diego
CL SANT DOMENEC	Carrer de Sant Domènec
CL SANT ENRIC	Carrer de Sant Enric
CL SANT ERNEST	Carrer de Sant Ernest
CL SANT ESTANISLAU	Carrer de Sant Estanislan
CL SANT FERMI	Carrer de Sant Fermí
CL SANT FERRAN	Carrer de Sant Ferran
CL SANT FRANCESC	Carrer de Sant Francesc
CL SANT FÈLIX	Carrer de Sant Fèlix
CL SANT GERARD	Carrer de Sant Gerard
CL SANT  GREGORI	Carrer de Sant Gregori
CL SANT HILARI	Carrer de Sant Hilari
CL SANT ISIDRE	Carrer de Sant Isidre
CL SANT JERONI	Carrer de Sant Jeroni
CL SANT JOAN BAPTISTA	Carrer de Sant Joan Baptista
CL SANT JOAN DE RIBERA	Carrer de Sant Joan de Ribera
CL SANT JOAN DE LA CREU	Carrer de Sant Joan de la Creu
CL SANT JOAN DE LA PENYA	Carrer de Sant Joan de la Penya
CL SANT JOSEP	Carrer de Sant Josep
CL SANT JUST	Carrer de Sant Just
CL SANT LLUIS BERTRAN	Carrer de Sant Lluís Beltràn
CL SANT MANUEL	Carrer de Sant Manuel
CL SANT MARCEL.LI	Carrer de Sant Marcel·lí
CL SANT MIQUEL	Carrer de Sant Miquel
CL SANT NICOLAU	Carrer de Sant Nicolau
CL SANT ONOFRE	Carrer de Sant Onofre
CL SANT PAU	Carrer de Sant Pau
CL SANT PERE MÀRTIR	Carrer de Sant Pere Màrtir
CL SANT PERE D'ALCÀNTERA	Carrer de Sant Pere d'Alcántara
CL SANT PERFECTE	Carrer de Sant Perfecto
CL SANT RAFEL	Carrer de Sant Rafel
CL SANT RAIMON DE PENYAFORT	Carrer de Sant Raimundo Peñafor
CL SANT TOMÀS	Carrer de Sant Tomàs
CL SANT URBÀ	Carrer de Sant Urbà
CL SANT VALERIÀ	Carrer de Sant Valerià
CL SANT VICENT FERRER	Carrer de Sant Vicent Ferrer
CL SANTA AMÀLIA	Carrer de Santa Amàlia
CL SANTA ANNA	Carrer de Santa Ana
CL SANTA CATERINA	Carrer de Santa Catalina
CL SANTA GENOVEVA	Carrer de Santa Genoveva
CL SANTA LLUCIA	Carrer de Santa Lucia
CL SANTA MAGDALENA	Carrer de Santa Magdalena
CL SANTA MARTA	Carrer de Santa Marta
CL SANTA MARIA MAZZARELLO	Carrer de Santa María Mazzarello
CL SANTA RITA	Carrer de Santa Rita
CL SANTA ROSA DE LIMA	Carrer de Santa Rosa de Lima
CL SANTA TERESETA	Carrer de Santa Teresita
CL SANTANDER	Carrer de Santander
CL SANTIAGO DE COMPOSTEL.LA	Carrer de Santiago de Compostela
CL SARAGOSSA	Carrer de Saragossa
CL SEDAVI	Carrer de Sedaví
CL SEGÒVIA	Carrer de Segòvia
CL SEUL-88	Carrer de Seul 88
CL SIDNEY-00	Carrer de Sidney 2000
CL SILLA	Carrer de Silla
CL SIMANCAS	Carrer de Simancas
CL SOGORB	Carrer de Sogorb
CL SOLLANA	Carrer de Sollana
CL SUECA	Carrer de Sueca
CL SÒRIA	Carrer de Sòria
CL TEODOR LLORENTE	Carrer de Teodoro Llorente
CL SANTA TERESA	Carrer de Teresa
CL TEROL	Carrer de Terol
CL TIRANT LO BLANC	Carrer de Tirant lo Blanc
CL TIRSO DE MOLINA	Carrer de Tirso de Molina
CL TOLEDO	Carrer de Toledo
CL TOMÀS MIQUEL	Carrer de Tomàs Miquel
CL TRAFALGAR	Carrer de Trafalgar
CL UTIEL	Carrer de Utiel
CL VALENTI PLANELLS	Carrer de Valentin Planells
CL VALÈNCIA	Carrer de València
CL VASCO DE GAMA	Carrer de Vasco de Gama
CL VELAZQUEZ	Carrer de Velázquez
CL VENECIA	Carrer de Venècia
CL VICENT ANDRES ESTELLES	Carrer de Vicent Andrés Estellés
CL VICENT VENTURA	Carrer de Vicent Ventura
CL VICENT BLASCO IBAÑEZ	Carrer de Vicente Blasco Ibáñez
CL VILLANUEVA DE LA REINA	Carrer de Vilanova de la Reina
CL XEST	Carrer de Xest
CL XIRIVELLA	Carrer de Xirivella
CL XIVA	Carrer de Xiva
CL ZURBARAN	Carrer de Zurbarán
CL ALBUFERA	Carrer de l'Albufera
CL ALCALATEN	Carrer de l'Alcalatén
CL A. SALVADOR FERNANDEZ ROS	Carrer de l'Alcalde Salvador Fernández Ros
CL ALMIRALL CADARSO	Carrer de l'Almirall Cadarso
CL ALMIRALL CHURRUCA	Carrer de l'Almirall Churruca
CL ELIANA L'	Carrer de l'Eliana
CL ERMITETA	Carrer de l'Ermiteta
CL ESGLESIA	Carrer de l'Esglesia
CL ESPARVER	Carrer de l'Esparver
CL ESTACIO	Carrer de l'Estació
CL EXÈRCIT ESPANYOL	Carrer de l'Exèrcit Espanyol
CL HORTA L'	Carrer de l'Horta
CL BANDA MUSICA DEL CERCLE	Carrer de l'Orfeó Musical del Cercle Catòlic
CL BARRACA	Carrer de la Barraca
CL BENÈMERITA GUÀRDIA CIVIL	Carrer de la Benemèrita Guàrdia Civil
CL COMARE C FERRER CERVERA	Carrer de la Comare Cervera
CL COMARE PILAR MARTI HDEZ	Carrer de la Comare Pilar Martí
CL CONSTITUCIO	Carrer de la Constitució
CL CORONA D'ARAGO	Carrer de la Corona d'Aragó
CL COSTERA LA	Carrer de la Costera
CL FLOR DE MAIG	Carrer de la Flor de Maig
CL FLORIDA	Carrer de la Florida
CL FOIETA	Carrer de la Foieta
CL FONT DE SANT LLUIS	Carrer de la Font de Sant Lluis
CL FONT DE LA CARRASQUERA	Carrer de la Font de la Carrasquera
CL FONT DE LA TEULA	Carrer de la Font de la Teula
CL LLUNA	Carrer de la Lluna
CL MARE DE DEU DE BEGONYA	Carrer de la Mare de Déu de Begonya
CL MARE DE DEU DE GUADALUPE	Carrer de la Mare de Déu de Guadalupe
CL MARE DEU DE L'ASSUMPCIO	Carrer de la Mare de Déu de l'Assumpció
CL MARE DE DEU DE L'OLIVAR	Carrer de la Mare de Déu de l'Olivar
CL MARE DE DEU DE LA PAU	Carrer de la Mare de Déu de la Pau
CL MARE DEU LA PURIFICACIO	Carrer de la Mare de Déu de la Purificació
CL MARE DE DEU DE LA SOLEDAT	Carrer de la Mare de Déu de la Soledat
CL MARE DE DEU DEL PILAR	Carrer de la Mare de Déu del Pilar
CL MARE DE DEU DEL PUIG	Carrer de la Mare de Déu del Puig
CL MARE DE DEU DEL ROSARI	Carrer de la Mare de Déu del Rosari
CL MARE DE DEU DESEMPARATS	Carrer de la Mare de Déu dels Desamaparats
CL MARE SAGRAMENT	Carrer de la Mare del Sacrament
CL MENTA	Carrer de la Menta
CL PERERA	Carrer de la Perera
CL PLANA LA	Carrer de la Plana
CL POLICIA LOCAL	Carrer de la Policia Local
CL PRIMAVERA	Carrer de la Primavera
CL PURISSIMA	Carrer de la Puríssima
CL SANTISSIMA TRINITAT	Carrer de la Santíssima Trinitat
CL SÀLVIA	Carrer de la Sàlvia
CL MARE DEU DE LES ANGOIXES	Carrer de la Verge de les Angoixes
CL ARTS	Carrer de les Arts
CL BARQUES	Carrer de les Barques
CL BRISES DEL VEDAT	Carrer de les Brises del Vedat
CL ILLES BALEARS	Carrer de les Illes Balears
CL REINES	Carrer de les Reines
CL SIS DE DESEMBRE	Carrer del 6 de desembre
CL BARRANC	Carrer del Barranc
CL BARRANC DE PICASSENT	Carrer del Barranc de Picassent
CL BARRANC DE LES CANYES	Carrer del Barranc de les Canyes
CL BARRANC DE CORTITXELLES	Carrer del Barranc de les Cortitxelles
CL BARRANC DE L'HORTETA	Carrer del Barranc de l´Horteta
CL BEAT ANDRES IBERNON	Carrer del Beat Andrés Ybemon
CL CANONGE GISBERT	Carrer del Canonge Gisbert
CL CARDENAL CISNEROS	Carrer del Cardenal Cisneros
CL CID	Carrer del Cid
CL DOCTOR FLEMING	Carrer del Doctor Flèming
CL DOCTOR FRANCISCO ROSELLO	Carrer del Doctor Francesc Roselló
CL DOCTOR MARAÑON	Carrer del Doctor Marañón
CL DOCTOR ROMAGOSA	Carrer del Doctor Romagosa
CL DOCTOR VICENTE PUIG SIMO	Carrer del Doctor Vicent Piug Simó
CL FENOLL	Carrer del Fenoll
CL FRARE LLUIS AMIGO	Carrer del Frare Lluís Amigó
CL GARBI	Carrer del Garbí
CL GLADIOL	Carrer del Gladiol
CL JUTGE ÀNGEL QUEROL	Carrer del Jutge Àngel Querol
CL MAGISTRAT MONTERDE	Carrer del Magistrat Monterde
CL MAR	Carrer del Mar
CL MAR BÀLTIC	Carrer del Mar Bàltic
CL MAR EGEU	Carrer del Mar Egeo
CL MAR MEDITERRANI	Carrer del Mar Mediterrani
CL MARQUESAT	Carrer del Marquesat
CR MAS DEL JUTGE	Carrer del Mas del Jutge
CL MEDITERRANI	Carrer del Mediterrani
CL MESTRE ALBENIZ	Carrer del Mestre Albéniz
CL MESTRE CHAPI	Carrer del Mestre Chapí
CL MESTRE FORTEA	Carrer del Mestre Fortea
CL MESTRE JUAN ROIG SOLER	Carrer del Mestre Juan Roig Soler
CL MESTRE MAGENTI	Carrer del Mestre Magenti
CL MESTRE MANUEL MERA SOLANO	Carrer del Mestre Manuel Mera Solano
CL MESTRE SALVADOR PARDO	Carrer del Mestre Salvador Pardo
CL MESTRE SANCHIS ALMIÑANO	Carrer del Mestre Sanchis Almiñano
CL MESTRE SERRANO	Carrer del Mestre Serrano
CL MESTRE VICTORIANO ANDRES	Carrer del Mestre Victoriano Andrés
CL MIGDIA	Carrer del Migdia
CL MONTGO	Carrer del Montgó
CL MONTSIO	Carrer del Montsió
CL MUSIC ANDREU NAVARRO	Carrer del Músic Andreu Navarro
CL MUSIC ANDREU PIQUERES	Carrer del Músic Andreu Piqueres
CL MUSIC JOAQUIN RODRIGO	Carrer del Músic Joaquim Rodrigo
CL MUSIC JOSE MARIA MERINO	Carrer del Músic José María Merino
CL NOGUER	Carrer del Noguer
CL NORD	Carrer del Nord
CL PARE COLOMA	Carrer del Pare Coloma
CL PARE DAMIAN	Carrer del Pare Damià
CL PARE FEIJOO	Carrer del Pare Feijóo
CL PARE FERNANDO	Carrer del Pare Fernando
CL PARE FULLANA	Carrer del Pare Fullana
CL PARE MENDEZ	Carrer del Pare Méndez
CL PARE VICENTE CABANES	Carrer del Pare Vicent Cabanes
CL PERELLO	Carrer del Perellonet
CL PERELLONET	Carrer del Perellonet
CL PINTOR BENEDITO	Carrer del Pintor Benedicto
CL PINTOR FRANCISCO LOZANO	Carrer del Pintor Francisco Lozano
CL PINTOR GENARO PALAU	Carrer del Pintor Genaro Palau
CL PINTOR GISBERT	Carrer del Pintor Gisbert
CL PINTOR JOAN REUS	Carrer del Pintor Joan Reus
CL PINTOR LUIS ARCAS	Carrer del Pintor Lluís Arcas
CL PINTOR MARIANO MAELLA	Carrer del Pintor Marià Maella
CL PINTOR PABLO PICASSO	Carrer del Pintor Pablo Picasso
CL PINTOR PEIRO	Carrer del Pintor Peiró
CL PINTOR PEDRO DE VALENCIA	Carrer del Pintor Pere València
CL PINTOR PINAZO	Carrer del Pintor Pinazo
CL PINTOR RAMON CABRELLES	Carrer del Pintor Ramon Cabrelles Mora
CL PINTOR RAMON STOLZ	Carrer del Pintor Ramon Stolz
CL PINTOR RIBALTA	Carrer del Pintor Ribalta
CL PINTOR RIBERA	Carrer del Pintor Ribera
CL PINTOR SALVADOR ABRIL	Carrer del Pintor Salvador Abril
CL PINTOR SALVADOR DALI	Carrer del Pintor Salvador Dalí
CL PINTOR SEGRELLES	Carrer del Pintor Segrelles
CL PINTOR ZARIÑENA	Carrer del Pintor Zariñena
CL PINTOR ÀLEX ALEMANY	Carrer del Pintor Àlex Alemany
CL PROFETA DANIEL	Carrer del Poeta Daniel
CL POETA FRANCISCO BRINES	Carrer del Poeta Francisco Brines
CL POETA QUEROL	Carrer del Poeta Querol
CL REI MARTI L'HUMA	Carrer del Rei Martí l'Humà
CL RIU CERVOL	Carrer del Riu Cèrvol
CL RIU MAGRE	Carrer del Riu Magre
CL RIU MILLARS	Carrer del Riu Millars
CL RIU PALÀNCIA	Carrer del Riu Palància
CL RIU SEGURA	Carrer del Riu Segura
CL RIU VINALOPO	Carrer del Riu Vinalopó
CL RIU XUQUER	Carrer del Riu Xùquer
CL ROMER	Carrer del Romer
CL SANTISSIM CRIST	Carrer del Santíssim Crist
CL CINQUE CENTENARI	Carrer del V Centenari
CL XIPRER	Carrer del Xiprer
CL ALMIRALL CERVERA	Carrer del'Almirall Cervera
CL ARTESANS	Carrer dels Artesans
CL COLOMS	Carrer dels Coloms
CL MATALAFERS	Carrer dels Matalafers
CL MAULETS	Carrer dels Maulets
CL MAUROS	Carrer dels Mauros
CL POLIESPORTIU	Carrer dels Poliesportiu
CL REIS CATÒLICS	Carrer dels Reis Catòlics
CL ROURE	Carrer dels Roure
CL SABATERS	Carrer dels Sabaters
CL SANTS PATRONS	Carrer dels Sants Patrons
CL SERRANS	Carrer dels Serrans
CL XOCOLATERS	Carrer dels Xocolaters
CL ESPIGOL	Carrer l'Espígol
CL ILLA TABARCA	Carrer l'Illa de Tabarca
CL SANT RAMON	Carrera de Sant Ramón
CR MONSERRAT-REAL	Carretera Torrent a Montserrat
CL NUM 2 CORRAL DEL FRANXO	Corral dels Franxos
CL NUM 4 CORRAL DEL FRANXO	Corral dels Franxos
CL FONT DE MANYES	Font de Manyes
CL AMISTAT	L'Amistat
CL MATIES PERELLO	Matías Perelló
PD ALTER	Partida Alter
PD ARQUILLO	Partida Arquillo
PD BARRANC DEL GALLEGO	Partida Barranc del Gallego
PD BARRET EL	Partida Barret el
PD CANYADA DEL BOTER	Partida Canyada del Boter
PD CASETA DE TACHE	Partida Caseta de Tache
PD CAÑADA DE GODELLETA	Partida Cañada de Godelleta
PD CONTIENDA	Partida Contienda
PD CORRAL DEL COLERO	Partida Corral del Colero
PD CORTITXELLES	Partida Cortitxelles
PD CUMBRES DE CALICANTO	Partida Cumbres de Calicanto
PD FOIA	Partida Foia
PD FRANXOS	Partida Franxos
PD MADRONYAL	Partida Madronyal
PD MANYES	Partida Manyes
PD MAS DE DON PEDRO	Partida Mas de Don Pedro
PD MASIA BARCOS	Partida Masia Barcos
PD MASIA DELS GILS	Partida Masia Dels Gils
PD MODRONYAL	Partida Modronyal
PD MOLLO BLANC	Partida Mollo Blanc
PD PANTÀ	Partida Pantà
PD PARDALA LA	Partida Pardala la
PD RÀFOL	Partida Ràfol
PD SEQUIA DE PICANYA	Partida Sequia de Picanya
PD SERRA	Partida Serra
PD SERRA PERENXISA	Partida Serra Perenxisa
PD TOSSAL DE BARRET	Partida Tossal de Barret
PJ SANT JOAN	Pasaje/Pasadizo Sant Joan
PJ ENRIQUE RAMBAL	Passatge Enric Rambal
CL JUAN DE LA CIERVA	Passeig de Juan de la Cierva
PS ROSERS	Passeig dels Rosers
PZ ERA	Placeta de l'Era
PZ AZORIN	Plaza Azorin
PZ HEURA	Plaza Heura
PZ PARE TOMÀS ROCA	Plaza Pare Tomàs Roca
PZ CORTS VALENCIANES	Plaça Corts Valencianes
PZ DOMINICAL	Plaça Dominical
PZ MOTA	Plaça La Mota
PZ TORRENTINA LA	Plaça La Torrentina
PZ MAJOR	Plaça Major
PZ MARE DE DEU DELS SOCORS	Plaça Mare de Déu dels Socors
PZ MESTRE GINER	Plaça Mestre Giner
PZ PEDRO ITURRALDE OCHOA	Plaça Pedro Iturralde Ochoa
PZ SANTA LLUCIA	Plaça Santa Lucia
PZ AMÈRICA	Plaça d'América
PZ COLOM	Plaça de Colom
PZ FERNANDO CHULIÀ	Plaça de Fernando Chulià
PZ SANT JAUME	Plaça de Sant Jaume
PZ SANT PASQUAL	Plaça de Sant Pasqual
PZ SANT ROC	Plaça de Sant Roc
PZ CONCÒRDIA	Plaça de la Concòrdia
PZ LLIBERTAT	Plaça de la Llibertat
PZ UNIO MUSICAL DE TORRENT	Plaça de la Unió Musical de Torrent
PZ FONTS	Plaça de les Fonts
PZ BISBE BENLLOCH	Plaça del Bisbe Benlloch
PL 3	Polígono 3
PL 33	Polígono 33
PL 60	Polígono 60
PD SAFRANAR	Ronda Safranar
CL VICENT PALLARDO	Ronda Vicente Pallardó
CL SENDA FOIETA	Senda de la Foieta
CL TOLL-L'ALBERCA CARRER C	Toll l'Alberca
CL TOLL-L'ALBERCA CARRER B	Toll l'Alberca
CL TOLL-L'ALBERCA CARRER F	Toll l'Alberca
CL TOLL-L'ALBERCA CARRER E	Toll l'Alberca
CL TOLL-L'ALBERCA CARRER D	Toll l'Alberca
CL TOLL-L'ALBERCA CARRER K	Toll l'Alberca
CL TOLL-L'ALBERCA CARRER J	Toll l'Alberca
CL TOLL-L'ALBERCA CARRER I	Toll l'Alberca
CL TOLL-L'ALBERCA CARRER L	Toll l'Alberca
CL TOLL-L'ALBERCA CARRER G	Toll l'Alberca
PD TOLL	Toll l'Alberca
PD ALBERCA	Toll l'Alberca
TR LLUNA	Travessia La Lluna
TR DALT	Travesía Alta
TR BAIX	Travesía/Transversal Baix
TR FELIX PIZCUETA	Travesía/Transversal Felix Pizcueta
TR PABLO NERUDA	Travesía/Transversal Pablo Neruda
TR PINTOR PEDRO CAMARA 1	Travesía/Transversal Pintor Pedro Camara 1
TR PINTOR PEDRO CAMARA 3	Travesía/Transversal Pintor Pedro Camara 3
UR CAMPING	Urbanización Camping
UR MAS DE LA MONTAÑETA	Urbanización Mas de la Montañeta
